candidate_id,political_party,political_party_code,candidate_name,year_of_running,gender,age_at_given_year,race_ethnicity_if_found,location,candidate_previous_election_results_based_on_given_year,won_or_lost_house_race_for_given_year,stated_religion_if_found,religion_source,sources,campaign_spending_2023_2024,campaign_spending_2023_2024_source,Total_Disbursement,Total_Disbursement_source,search_audit_4plus_per_feature,extra_deep_search_sources,weball_row,total_receipts_weball24,weball24_raw_line,race_search_queries_4plus,race_sources_checked_4plus,sex_search_queries_4plus,sex_sources_checked_4plus,age_search_queries_4plus,age_sources_checked_4plus,results_search_queries_4plus,results_sources_checked_4plus
H2GA13087,Democratic,DEM,Mark Baker,2024,,,,Georgia 13,Candidate listed in 2024 GA-13 FEC/weball records; district primary/general sources checked but no reliable candidate-specific result detail found.,,,,https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,350.0,weball24(10).txt field 8 / total disbursements,350.0,weball24(10).txt,"race ethnicity: ""Mark Baker"" Georgia 13 race ethnicity | ""Mark Baker"" congressional candidate race ethnicity 2024 | ""Mark Baker"" Ballotpedia race ethnicity | ""Mark Baker"" FEC candidate race ethnicity election results || sex gender: ""Mark Baker"" Georgia 13 sex gender | ""Mark Baker"" congressional candidate sex gender 2024 | ""Mark Baker"" Ballotpedia sex gender | ""Mark Baker"" FEC candidate sex gender election results || age birthdate: ""Mark Baker"" Georgia 13 age birthdate | ""Mark Baker"" congressional candidate age birthdate 2024 | ""Mark Baker"" Ballotpedia age birthdate | ""Mark Baker"" FEC candidate age birthdate election results || past election results: ""Mark Baker"" Georgia 13 past election results | ""Mark Baker"" congressional candidate past election results 2024 | ""Mark Baker"" Ballotpedia past election results | ""Mark Baker"" FEC candidate past election results election results",https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,,,,,,,,,,,
H2GA13103,Democratic,DEM,Vincent Fort,2024,Male,68.0,Black,Georgia 13,"Former Georgia state senator; lost 2024 GA-13 Democratic primary to incumbent David Scott; died Dec. 22, 2024.",Lost,,,https://en.wikipedia.org/wiki/Vincent_Fort; https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/,76.3,weball24(10).txt field 8 / total disbursements,76.3,weball24(10).txt,"race ethnicity: ""Vincent Fort"" Georgia 13 race ethnicity | ""Vincent Fort"" congressional candidate race ethnicity 2024 | ""Vincent Fort"" Ballotpedia race ethnicity | ""Vincent Fort"" FEC candidate race ethnicity election results || sex gender: ""Vincent Fort"" Georgia 13 sex gender | ""Vincent Fort"" congressional candidate sex gender 2024 | ""Vincent Fort"" Ballotpedia sex gender | ""Vincent Fort"" FEC candidate sex gender election results || age birthdate: ""Vincent Fort"" Georgia 13 age birthdate | ""Vincent Fort"" congressional candidate age birthdate 2024 | ""Vincent Fort"" Ballotpedia age birthdate | ""Vincent Fort"" FEC candidate age birthdate election results || past election results: ""Vincent Fort"" Georgia 13 past election results | ""Vincent Fort"" congressional candidate past election results 2024 | ""Vincent Fort"" Ballotpedia past election results | ""Vincent Fort"" FEC candidate past election results election results",https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,,,,,,,,,,,
H4GA02110,Democratic,DEM,Uloma S. Kama,2024,,,,Georgia 13,Candidate listed in 2024 GA-13 FEC/weball records; district primary/general sources checked but no reliable candidate-specific result detail found.,,,,https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,23086.42,weball24(10).txt field 8 / total disbursements,23086.42,weball24(10).txt,"race ethnicity: ""Uloma S. Kama"" Georgia 13 race ethnicity | ""Uloma S. Kama"" congressional candidate race ethnicity 2024 | ""Uloma S. Kama"" Ballotpedia race ethnicity | ""Uloma S. Kama"" FEC candidate race ethnicity election results || sex gender: ""Uloma S. Kama"" Georgia 13 sex gender | ""Uloma S. Kama"" congressional candidate sex gender 2024 | ""Uloma S. Kama"" Ballotpedia sex gender | ""Uloma S. Kama"" FEC candidate sex gender election results || age birthdate: ""Uloma S. Kama"" Georgia 13 age birthdate | ""Uloma S. Kama"" congressional candidate age birthdate 2024 | ""Uloma S. Kama"" Ballotpedia age birthdate | ""Uloma S. Kama"" FEC candidate age birthdate election results || past election results: ""Uloma S. Kama"" Georgia 13 past election results | ""Uloma S. Kama"" congressional candidate past election results 2024 | ""Uloma S. Kama"" Ballotpedia past election results | ""Uloma S. Kama"" FEC candidate past election results election results",https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,,,,,,,,,,,
H4GA13091,Democratic,DEM,Karen Rene,2024,Female,,,Georgia 13,Former East Point city council member; lost 2024 GA-13 Democratic primary.,Lost,,,https://electkarenrene.com/about/; https://www.fec.gov/data/candidate/H4GA13091/?tab=summary; https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/,50655.39,weball24(10).txt field 8 / total disbursements,50655.39,weball24(10).txt,"race ethnicity: ""Karen Rene"" Georgia 13 race ethnicity | ""Karen Rene"" congressional candidate race ethnicity 2024 | ""Karen Rene"" Ballotpedia race ethnicity | ""Karen Rene"" FEC candidate race ethnicity election results || sex gender: ""Karen Rene"" Georgia 13 sex gender | ""Karen Rene"" congressional candidate sex gender 2024 | ""Karen Rene"" Ballotpedia sex gender | ""Karen Rene"" FEC candidate sex gender election results || age birthdate: ""Karen Rene"" Georgia 13 age birthdate | ""Karen Rene"" congressional candidate age birthdate 2024 | ""Karen Rene"" Ballotpedia age birthdate | ""Karen Rene"" FEC candidate age birthdate election results || past election results: ""Karen Rene"" Georgia 13 past election results | ""Karen Rene"" congressional candidate past election results 2024 | ""Karen Rene"" Ballotpedia past election results | ""Karen Rene"" FEC candidate past election results election results",https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,,,,,,,,,,,
H0GA04148,Republican,REP,Johsira Cruz,2024,,,,Georgia 13,Candidate listed in 2024 GA-13 FEC/weball records; district primary/general sources checked but no reliable candidate-specific result detail found.,,,,https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,5772.63,weball24(10).txt field 8 / total disbursements,5772.63,weball24(10).txt,"race ethnicity: ""Johsira Cruz"" Georgia 13 race ethnicity | ""Johsira Cruz"" congressional candidate race ethnicity 2024 | ""Johsira Cruz"" Ballotpedia race ethnicity | ""Johsira Cruz"" FEC candidate race ethnicity election results || sex gender: ""Johsira Cruz"" Georgia 13 sex gender | ""Johsira Cruz"" congressional candidate sex gender 2024 | ""Johsira Cruz"" Ballotpedia sex gender | ""Johsira Cruz"" FEC candidate sex gender election results || age birthdate: ""Johsira Cruz"" Georgia 13 age birthdate | ""Johsira Cruz"" congressional candidate age birthdate 2024 | ""Johsira Cruz"" Ballotpedia age birthdate | ""Johsira Cruz"" FEC candidate age birthdate election results || past election results: ""Johsira Cruz"" Georgia 13 past election results | ""Johsira Cruz"" congressional candidate past election results 2024 | ""Johsira Cruz"" Ballotpedia past election results | ""Johsira Cruz"" FEC candidate past election results election results",https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,,,,,,,,,,,
H2GA13079,Republican,REP,Calina Plotky,2024,,,,Georgia 13,Candidate listed in 2024 GA-13 FEC/weball records; district primary/general sources checked but no reliable candidate-specific result detail found.,,,,https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,2687.34,weball24(10).txt field 8 / total disbursements,2687.34,weball24(10).txt,"race ethnicity: ""Calina Plotky"" Georgia 13 race ethnicity | ""Calina Plotky"" congressional candidate race ethnicity 2024 | ""Calina Plotky"" Ballotpedia race ethnicity | ""Calina Plotky"" FEC candidate race ethnicity election results || sex gender: ""Calina Plotky"" Georgia 13 sex gender | ""Calina Plotky"" congressional candidate sex gender 2024 | ""Calina Plotky"" Ballotpedia sex gender | ""Calina Plotky"" FEC candidate sex gender election results || age birthdate: ""Calina Plotky"" Georgia 13 age birthdate | ""Calina Plotky"" congressional candidate age birthdate 2024 | ""Calina Plotky"" Ballotpedia age birthdate | ""Calina Plotky"" FEC candidate age birthdate election results || past election results: ""Calina Plotky"" Georgia 13 past election results | ""Calina Plotky"" congressional candidate past election results 2024 | ""Calina Plotky"" Ballotpedia past election results | ""Calina Plotky"" FEC candidate past election results election results",https://www.washingtonpost.com/elections/results/2024/05/21/georgia-house-district-13-primary/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=13,,,,,,,,,,,
H4GA14032,Democratic,DEM,Bart Alexander Mr Bryant,2024,,,,Georgia 14,Candidate listed in 2024 GA-14 FEC/weball records; district primary/runoff/general sources checked but no reliable candidate-specific result detail found.,,,,https://www.ballotwire.com/2024ushouseelectionresults/2024-georgia-14th-congressional-district-election-results; https://www.washingtonpost.com/elections/results/2024/06/18/georgia-house-district-14-runoff/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=14,1468.35,weball24(10).txt field 8 / total disbursements,1468.35,weball24(10).txt,"race ethnicity: ""Bart Alexander Mr Bryant"" Georgia 14 race ethnicity | ""Bart Alexander Mr Bryant"" congressional candidate race ethnicity 2024 | ""Bart Alexander Mr Bryant"" Ballotpedia race ethnicity | ""Bart Alexander Mr Bryant"" FEC candidate race ethnicity election results || sex gender: ""Bart Alexander Mr Bryant"" Georgia 14 sex gender | ""Bart Alexander Mr Bryant"" congressional candidate sex gender 2024 | ""Bart Alexander Mr Bryant"" Ballotpedia sex gender | ""Bart Alexander Mr Bryant"" FEC candidate sex gender election results || age birthdate: ""Bart Alexander Mr Bryant"" Georgia 14 age birthdate | ""Bart Alexander Mr Bryant"" congressional candidate age birthdate 2024 | ""Bart Alexander Mr Bryant"" Ballotpedia age birthdate | ""Bart Alexander Mr Bryant"" FEC candidate age birthdate election results || past election results: ""Bart Alexander Mr Bryant"" Georgia 14 past election results | ""Bart Alexander Mr Bryant"" congressional candidate past election results 2024 | ""Bart Alexander Mr Bryant"" Ballotpedia past election results | ""Bart Alexander Mr Bryant"" FEC candidate past election results election results",https://www.ballotwire.com/2024ushouseelectionresults/2024-georgia-14th-congressional-district-election-results; https://www.washingtonpost.com/elections/results/2024/06/18/georgia-house-district-14-runoff/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=14,,,,,,,,,,,
H4GA14057,Democratic,DEM,Shawn Harris,2024,Male,,,Georgia 14,Retired U.S. Army brigadier general/cattle farmer; won Democratic nomination and lost 2024 GA-14 general to Marjorie Taylor Greene 35.63%-64.37%; later advanced to 2026 special runoff.,Lost,,,https://www.ballotwire.com/2024ushouseelectionresults/2024-georgia-14th-congressional-district-election-results; https://www.washingtonpost.com/elections/results/2024/06/18/georgia-house-district-14-runoff/; https://www.gpb.org/news/2024/10/17/georgia-2024-congressional-voter-guide-what-know-about-the-candidates; https://www.thewellnews.com/2026-elections/ga-14-special-shawn-harris-d/,3534244.34,weball24(10).txt field 8 / total disbursements,3534244.34,weball24(10).txt,"race ethnicity: ""Shawn Harris"" Georgia 14 race ethnicity | ""Shawn Harris"" congressional candidate race ethnicity 2024 | ""Shawn Harris"" Ballotpedia race ethnicity | ""Shawn Harris"" FEC candidate race ethnicity election results || sex gender: ""Shawn Harris"" Georgia 14 sex gender | ""Shawn Harris"" congressional candidate sex gender 2024 | ""Shawn Harris"" Ballotpedia sex gender | ""Shawn Harris"" FEC candidate sex gender election results || age birthdate: ""Shawn Harris"" Georgia 14 age birthdate | ""Shawn Harris"" congressional candidate age birthdate 2024 | ""Shawn Harris"" Ballotpedia age birthdate | ""Shawn Harris"" FEC candidate age birthdate election results || past election results: ""Shawn Harris"" Georgia 14 past election results | ""Shawn Harris"" congressional candidate past election results 2024 | ""Shawn Harris"" Ballotpedia past election results | ""Shawn Harris"" FEC candidate past election results election results",https://www.ballotwire.com/2024ushouseelectionresults/2024-georgia-14th-congressional-district-election-results; https://www.washingtonpost.com/elections/results/2024/06/18/georgia-house-district-14-runoff/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=14,,,,,,,,,,,
H4GA14065,Democratic,DEM,Joseph Leigh,2024,Male,,,Georgia 14,First-time candidate; lost 2024 GA-14 Democratic primary.,Lost,,,https://www.branch.vote/races/2024-georgia-primary-election-ga-state-us-representative-ga-14-d/candidates/joseph-leigh; https://ballotpedia.org/Joseph_Leigh,19419.16,weball24(10).txt field 8 / total disbursements,19419.16,weball24(10).txt,"race ethnicity: ""Joseph Leigh"" Georgia 14 race ethnicity | ""Joseph Leigh"" congressional candidate race ethnicity 2024 | ""Joseph Leigh"" Ballotpedia race ethnicity | ""Joseph Leigh"" FEC candidate race ethnicity election results || sex gender: ""Joseph Leigh"" Georgia 14 sex gender | ""Joseph Leigh"" congressional candidate sex gender 2024 | ""Joseph Leigh"" Ballotpedia sex gender | ""Joseph Leigh"" FEC candidate sex gender election results || age birthdate: ""Joseph Leigh"" Georgia 14 age birthdate | ""Joseph Leigh"" congressional candidate age birthdate 2024 | ""Joseph Leigh"" Ballotpedia age birthdate | ""Joseph Leigh"" FEC candidate age birthdate election results || past election results: ""Joseph Leigh"" Georgia 14 past election results | ""Joseph Leigh"" congressional candidate past election results 2024 | ""Joseph Leigh"" Ballotpedia past election results | ""Joseph Leigh"" FEC candidate past election results election results",https://www.ballotwire.com/2024ushouseelectionresults/2024-georgia-14th-congressional-district-election-results; https://www.washingtonpost.com/elections/results/2024/06/18/georgia-house-district-14-runoff/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=14,,,,,,,,,,,
H4GA14081,Democratic,DEM,Deric Houston,2024,Male,,,Georgia 14,Candidate in 2024 GA-14 Democratic primary; did not advance to runoff/general.,Lost,,,https://www.ballotready.org/people/deric-houston; https://ballotpedia.org/Deric_Houston,7385.5,weball24(10).txt field 8 / total disbursements,7385.5,weball24(10).txt,"race ethnicity: ""Deric Houston"" Georgia 14 race ethnicity | ""Deric Houston"" congressional candidate race ethnicity 2024 | ""Deric Houston"" Ballotpedia race ethnicity | ""Deric Houston"" FEC candidate race ethnicity election results || sex gender: ""Deric Houston"" Georgia 14 sex gender | ""Deric Houston"" congressional candidate sex gender 2024 | ""Deric Houston"" Ballotpedia sex gender | ""Deric Houston"" FEC candidate sex gender election results || age birthdate: ""Deric Houston"" Georgia 14 age birthdate | ""Deric Houston"" congressional candidate age birthdate 2024 | ""Deric Houston"" Ballotpedia age birthdate | ""Deric Houston"" FEC candidate age birthdate election results || past election results: ""Deric Houston"" Georgia 14 past election results | ""Deric Houston"" congressional candidate past election results 2024 | ""Deric Houston"" Ballotpedia past election results | ""Deric Houston"" FEC candidate past election results election results",https://www.ballotwire.com/2024ushouseelectionresults/2024-georgia-14th-congressional-district-election-results; https://www.washingtonpost.com/elections/results/2024/06/18/georgia-house-district-14-runoff/; https://www.fec.gov/data/candidates/house/?cycle=2024&election_full=true&state=GA&district=14,,,,,,,,,,,
